Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2006,Jan,63.2,60.2,9522997,9066533,456464,4.8
2006,Feb,63.2,60.2,9529175,9077960,451215,4.7
2006,Mar,63.2,60.3,9535839,9087985,447854,4.7
2006,Apr,63.3,60.3,9539977,9093660,446317,4.7
2006,May,63.2,60.3,9538316,9093999,444317,4.7
2006,Jun,63.2,60.2,9530898,9090653,440245,4.6
2006,Jul,63.1,60.2,9520777,9087715,433062,4.5
2006,Aug,63.0,60.2,9511488,9086770,424718,4.5
2006,Sep,62.9,60.1,9505259,9087981,417278,4.4
2006,Oct,62.8,60.1,9502793,9092269,410524,4.3
2006,Nov,62.8,60.1,9503075,9098570,404505,4.3
2006,Dec,62.8,60.1,9502870,9102977,399893,4.2
2007,Jan,62.7,60.1,9499799,9102241,397558,4.2
2007,Feb,62.6,60.0,9494831,9096946,397885,4.2
2007,Mar,62.6,59.9,9488991,9088533,400458,4.2
2007,Apr,62.5,59.8,9484728,9079753,404975,4.3
2007,May,62.5,59.8,9484366,9073042,411324,4.3
2007,Jun,62.5,59.7,9488494,9070029,418465,4.4
2007,Jul,62.5,59.7,9497120,9071651,425469,4.5
2007,Aug,62.5,59.7,9509680,9077545,432135,4.5
2007,Sep,62.6,59.7,9525259,9087657,437602,4.6
2007,Oct,62.7,59.8,9541506,9099049,442457,4.6
2007,Nov,62.8,59.8,9556141,9109703,446438,4.7
2007,Dec,62.8,59.9,9568190,9118591,449599,4.7
2008,Jan,62.8,59.9,9577044,9124073,452971,4.7
2008,Feb,62.9,59.9,9583530,9126805,456725,4.8
2008,Mar,62.9,59.9,9590062,9128290,461772,4.8
2008,Apr,62.9,59.8,9599018,9129190,469828,4.9
2008,May,63.0,59.8,9612247,9130656,481591,5.0
2008,Jun,63.1,59.8,9630028,9133515,496513,5.2
2008,Jul,63.2,59.8,9649719,9136086,513633,5.3
2008,Aug,63.3,59.8,9668018,9135938,532080,5.5
2008,Sep,63.3,59.7,9682451,9129223,553228,5.7
2008,Oct,63.4,59.6,9693575,9114128,579447,6.0
2008,Nov,63.4,59.4,9703038,9091347,611691,6.3
2008,Dec,63.4,59.2,9711658,9062948,648710,6.7
2009,Jan,63.4,59.0,9719617,9031621,687996,7.1
2009,Feb,63.5,58.7,9727756,9000993,726763,7.5
2009,Mar,63.0,58.0,9657401,8896423,760978,7.9
2009,Apr,63.0,57.9,9666899,8879394,787505,8.1
2009,May,63.0,57.8,9672903,8866030,806873,8.3
2009,Jun,63.0,57.7,9673753,8852531,821222,8.5
2009,Jul,63.0,57.5,9668943,8836214,832729,8.6
2009,Aug,62.9,57.4,9659298,8816461,842837,8.7
2009,Sep,62.8,57.2,9647854,8796265,851589,8.8
