STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/1/2006,0,,42,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/2/2006,0.5,,45,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/3/2006,0.98,,42,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/4/2006,0,,39,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/5/2006,0.04,,51,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/6/2006,0,,41,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/7/2006,0,,34,24
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/8/2006,0,,45,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/9/2006,0,,58,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/10/2006,0,,49,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/11/2006,0.14,,53,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/12/2006,0,,54,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/13/2006,0.07,,52,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/14/2006,1.01,,55,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/15/2006,0.19,,33,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/16/2006,0,,31,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/17/2006,0.08,,44,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/18/2006,0.45,,57,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/19/2006,0,,45,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/20/2006,0,,56,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/21/2006,0,,61,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/22/2006,0,,43,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/23/2006,0.73,,42,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/24/2006,0,,43,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/25/2006,0.02,,45,33
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/26/2006,0,,37,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/27/2006,0,,41,22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/28/2006,0,,55,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/29/2006,0.09,,47,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/30/2006,0,,62,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1/31/2006,0.06,,42,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/1/2006,0,,44,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/2/2006,0,,48,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/3/2006,0.47,,61,43
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/4/2006,0.29,,54,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/5/2006,0.16,,54,37
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/6/2006,0,,40,34
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/7/2006,0,,44,31
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/8/2006,0,,38,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/9/2006,0,,35,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/10/2006,0,,38,25
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/11/2006,0.18,,39,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/12/2006,1.04,,28,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/13/2006,0,,34,20
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/14/2006,0,,39,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/15/2006,0,,46,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/16/2006,0,,52,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/17/2006,0.08,,57,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/18/2006,0,,35,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/19/2006,0,,30,15
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/20/2006,0,,36,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2/21/2006,0,,42,27
